Sample_ID,Column,Total_Counts_Sum,Total_Counts_Provided,Detected_Genes_(>0),Total_Genes,Percent_Zeros,Min,Q1,Median,Mean,Q3,Max,SD,IQR,Gini_Coefficient
ERR2592354,V1,34934956.55,1733.778975,18451,23747,22.30176443,0,0.999495206,118.5923494,1471.131366,1241.309127,358571.0331,5594.643023,1240.309632,0.822762757
ERR2592356,V2,21516968.87,1183.504115,17748,23747,25.26213838,0,0,64.0202314,906.0920906,754.637643,205438.2672,3463.55337,754.637643,0.826917923
ERR2592376,V3,28288091.58,1429.852334,18378,23747,22.60917168,0,1.000099679,114.0112533,1191.228011,1036.930182,316945.1987,4665.088748,1035.930082,0.816909626
ERR2592382,V4,15583089.41,756.4364736,17614,23747,25.82642018,0,0,54.97944608,656.2129705,553.134087,180821.3105,2932.276517,553.134087,0.825171582
ERR2592396,V5,24582217.75,1374.870772,18469,23747,22.22596539,0,0.999198446,114.9076283,1035.171506,934.8418026,268911.9783,3961.802784,933.8426042,0.810115623
ERR2592400,V6,24016714.25,1357.871709,18434,23747,22.37335242,0,0.999826876,108.8700439,1011.357824,915.1522294,271941.5611,3914.988752,914.1524025,0.810996046
ERR2592408,V7,14309422.17,940.4887067,18316,23747,22.8702573,0,1.002338394,81.18954585,602.5781011,575.34277,168602.079,2303.546736,574.3404316,0.798868993
ERR2592419,V8,15056654.92,952.0214894,17466,23747,26.4496568,0,0,56.08022743,634.0445076,529.758987,211094.6034,2715.178524,529.758987,0.823320849
ERR2592435,V9,25216609.71,1432.178457,18360,23747,22.68497073,0,1.002563791,116.297575,1061.886121,959.9498585,288120.4505,4036.346553,958.9472947,0.808966263
ERR2592445,V10,25224632.99,1504.928901,18881,23747,20.49100939,0,1.999208189,133.9471236,1062.223986,1000.957108,286654.5501,3995.300596,998.9578995,0.801605012
ERR2592463,V11,24845850.39,1313.386917,18264,23747,23.08923232,0,1.002876699,114.3278335,1046.27323,973.5658275,276604.6574,3913.923384,972.5629508,0.807192497
ERR2592468,V12,24199525.35,1508.471666,18840,23747,20.66366278,0,2.004139104,139.2871991,1019.056106,976.016595,266081.9084,3951.405101,974.0124559,0.798148835
ERR2592491,V13,31389235.87,1895.216477,18615,23747,21.61115088,0,1.322540171,166.3073528,1321.819003,1269.69351,391796.364,5048.922865,1268.370969,0.799432277
ERR2592502,V14,18293021.87,1215.079558,19150,23747,19.35823472,0,2.004441077,112.2485118,770.3298045,731.0799182,234416.6557,3318.364838,729.0754771,0.796860604
ERR2592523,V15,15487169.86,1102.779634,19475,23747,17.9896408,0,2.997713263,99.15257206,652.1737424,615.2202389,193617.5208,2694.33532,612.2225257,0.79462813
ERR2592529,V16,28635772.43,1409.343526,19476,23747,17.98542974,0,3.005912547,168.5143542,1205.869054,1114.189842,433698.3394,5447.475737,1111.183929,0.802167134
ERR2592544,V17,20486288.37,1229.190663,19295,23747,18.74763128,0,2.097325341,123.1812599,862.6895344,789.7289235,258084.6115,4026.501331,787.6315981,0.801811542
ERR2592561,V18,32178318.7,1669.480314,19714,23747,16.98319788,0,4.010877927,182.494767,1355.047741,1230.337247,536809.2654,6332.76295,1226.326369,0.804438368
ERR2592567,V19,23980751.63,1951.602372,19287,23747,18.78131975,0,2.553194851,140.3510338,1009.843417,944.1489552,342844.1336,4837.052977,941.5957603,0.799745976
ERR2592574,V20,28149675.26,2604.756124,19577,23747,17.56011286,0,3.059499988,161.2330464,1185.399219,1128.861823,360239.8094,4882.05148,1125.802323,0.796270362
ERR2592599,V21,23386373.59,1916.556838,18875,23747,20.51627574,0,1.991503717,116.5031335,984.8138118,900.6521496,426466.7943,4484.093365,898.6606459,0.804516791
ERR2592605,V22,17044869.48,1442.837608,18551,23747,21.88065861,0,0.998967559,82.91419339,717.7693804,661.1306818,280750.8752,3010.544193,660.1317142,0.803959604
ERR2592620,V23,17936452.51,2283.916066,18601,23747,21.6701057,0,1.006880741,93.9544412,755.3144614,727.8256773,248094.6173,2964.697756,726.8187966,0.796909143
ERR2592623,V24,25855201.78,3305.670324,18835,23747,20.68471807,0,2.002847711,138.1965012,1088.777605,1065.161869,388084.5573,4319.313856,1063.159022,0.794937504
ERR2592643,V25,18747876.57,2353.747384,18787,23747,20.88684887,0,1.582487347,102.0322274,789.484001,774.7492063,295295.7906,3186.741628,773.166719,0.792929713
ERR2592646,V26,26660479.62,2835.865474,18991,23747,20.02779298,0,2.001256326,148.0930495,1122.688324,1115.749714,413622.6472,4524.485756,1113.748457,0.79141873
ERR2592662,V27,19514166.85,12115.812,19283,23747,18.79816398,0,2.209238545,78.34895471,821.752931,551.0545711,155585.3982,2886.26244,548.8453325,0.834605367
ERR2592666,V28,30942288.39,19770.79732,19673,23747,17.15585127,0,3.929268148,133.5476729,1302.997785,930.0645739,278644.4965,4728.307994,926.1353057,0.829441846
ERR2592693,V29,23666288.05,12611.28453,19535,23747,17.7369773,0,3.166432188,100.3896931,996.6011729,663.9363299,199581.2355,3781.304569,660.7698977,0.836423562
ERR2592697,V30,28463888.98,15677.17379,19228,23747,19.02977218,0,2.952040821,95.44952543,1198.630942,754.7747768,674672.619,6490.287549,751.8227359,0.847049345